content|author
天才是百分之一的灵感加百分之九十九的汗水。|爱迪生
一个人几乎可以在任何他怀有无限热忱的事情上成功。|查尔斯·史考伯
深窥自己的心，而后发觉一切的奇迹在你自己。|培根
坚强的信念能赢得强者的心，并使他们变得更坚强。|白哲特
流水在碰到底处时才会释放活力。|歌德
那脑袋里的智慧，就像打火石里的火花一样，不去打它是不肯出来的。|莎士比亚
多数人都拥有自己不了解的能力和机会，都有可能做到未曾梦想的事情。|戴尔·卡耐基
勿问成功的秘诀为何，且尽全力做你应该做的事吧。|美华纳
苦难有如乌云，远望去但见墨黑一片，然而身临其下时不过是灰色而已。|里希特
幸运并非没有恐惧和烦恼；厄运也决非没有安慰和希望。|培根
不幸可能成为通向幸福的桥梁。|日本谚语
苦难磨炼一些人，也毁灭另一些人。|富勒
烈火试真金，逆境试强者。|塞内加
人生犹如一本书，愚蠢者草草翻过，聪明人细细阅读。为何如此 . 因为他们只能读它一次。|保罗
过去属于死神，未来属于你自己。|雪莱
不要慨叹生活的痛苦！慨叹是弱者。|高尔基
不应当急于求成，应当去熟悉自己的研究对象，锲而不舍，时间会成全一切。凡事开始最难，然而更难的是何以善终。|莎士比亚
如烟往事俱忘却，心底无私天地宽。|陶铸
生活真象这杯浓酒，不经三番五次的提炼呵，就不会这样可口！|郭小川
人生的价值，即以其人对于当代所做的工作为尺度。|徐玮
富贵不淫贫贱乐，男儿到此是豪雄。|程颢
逆境给人宝贵的磨炼机会。只有经得起环境考验的人，才能算是真正的强者。自古以来的伟人，大多是抱着不屈不挠的精神，从逆境中挣扎奋斗过来的。|松下幸之助
路是脚踏出来的，历史是人写出来的。人的每一步行动都在书写自己的历史。|吉鸿昌
真正的人生，只有在经过艰难卓绝的斗争之后才能实现。|塞涅卡
当一个人用工作去迎接光明，光明很快就会来照耀着他。|冯学峰
人在身处逆境时，适应环境的能力实在惊人。人可以忍受不幸，也可以战胜不幸，因为人有着惊人的潜力，只要立志发挥它，就一定能渡过难关。|卡耐基
倘若你想达成目标，便得在心中描绘出目标达成后的景象；那么，梦想必会成真。|英国当代动机大师 理查丹尼
一个人的人生幸福，只靠道德方面的努力是不够的，我们必须经常描绘自己将来的幸福形象，并依靠万能的潜意识来帮忙实现。潜意识一旦接受事情后，就会想尽办法去实现它，之后你只要安心等待,就可以了。|世界著名研究精神法则、潜意识权威 乔瑟夫·摩菲
每一个人都具有特殊能力的电路，但大多数人因为不知道，所以无法充分利用，就好像怀重宝而不知其在；只要能发掘出这项秘藏的能力，人类的能力将会完全大改观，也能展现出超乎常人的能力。|超右脑革命作者、日本科学会顾问 七田真
我这一生不曾工作过，我的幽默和伟大的著作都来自于求助潜意识心智无穷尽的宝藏。|马克吐温
那些最能干的人，往往是那些即使在最绝望的环境里，仍不断传送成功意念的人。他们不但鼓舞自己，也振奋他人，不达成功，誓不休止。|安东尼·罗宾
灵感并不是在逻辑思考的延长线上产生，而是在破除逻辑或常识的地方才有灵感。|爱因斯坦
不因幸运而固步自封，不因厄运而一蹶不振。真正的强者，善于从顺境中找到阴影，从逆境中找到光亮，时时校准自己前进的目标。|易卜生
每一种挫折或不利的突变，是带着同样或较大的有利的种子。|爱默生
什么叫做失败？失败是到达较佳境地的第一步。|菲里浦斯
失败是坚忍的最后考验。|俾斯麦
对于不屈不挠的人来说，没有失败这回事。|俾斯麦
一次失败，只是证明我们成功的决心还够坚强。|博 维
失败也是我需要的，它和成功对我一样有价值。|爱迪生
我们关心的，不是你是否失败了，而是你对失败能否无怨。|林肯
什么叫做失败？失败是到达较佳境地的第一步。|菲里浦斯
没有人事先了解自己到底有多大的力量，直到他试过以后才知道。|歌德
对于不屈不挠的人来说，没有失败这回事。|俾斯麦
要成功不需要什么特别的才能，只要把你能做的小事做得好就行了。|维龙
成功的唯一秘诀——坚持最后一分钟。|柏拉图
只有胜利才能生存，只有成功才有代价，只有耕耘才有收获。|佚名
只有把抱怨环境的心情，化为上进的力量，才是成功的保证。|罗曼·罗兰
胜利者往往是从坚持最后五分钟的时间中得来成功。|牛顿
如果你问一个善于溜冰的人怎样获得成功时，他会告诉你：“跌倒了，爬起来”，这就是成功。|牛顿
本来无望的事，大胆尝试，往往能成功。|莎士比亚
