content|author
Только не принимать ничего близко к сердцу. Ведь то, что примешь, хочешь удержать. А удержать нельзя ничего.|Ремарк Эрих
Никогда не иди туда, куда тебя подталкивают.|Васильев Борис
Когда человек достигает вершины власти, ему приписывают все добродетели, какие только можно перечислить в эпитафиях; когда же он попадает в беду - у него оказывается больше пороков, чем у блудного сына.|Бальзак Оноре
Согласитесь, Поль, что счастье любимого человека приносит нам гораздо больше радости, чем наше собственное|Бальзак Оноре
Любовь, дружище Поль, - нечто вроде непорочного зачатия; как она возникает - неизвестно.|Бальзак Оноре
Люди с твердым характером не знают ни ревности, ни страха: ведь ревность - это сомнение, а страх - малодушие.|Бальзак Оноре
Никакие законы, никакие меры, придуманные людьми, не могут предотвратить нравственное убийство, убийство словом.|Бальзак Оноре
Но тех, кто нас развлекает, от кого зависит, чтобы мы были счастливы, невозможно разлюбить.|Бальзак Оноре
Чем выше ты подымаешься, тем меньшим кажешься ты в глазах зависти. Но больше всех ненавидят того, кто летает.|Ницше Фридрих
Иных уж нет, а те далече…|Алексашенко Сергей
У нее было двое друзей. Один любил ее и приносил ей цветы. Другого любила она и давала ему деньги.|Ремарк Эрих
Раньше люди опускались постепенно, и всегда еще могла найтись возможность вновь подняться, теперь за каждым увольнением зияла пропасть вечной безработицы.|Ремарк Эрих
Драгоценный камень не станет таковым, если его долго не полировать. Так и человек не станет человеком, не пройдя искусы и переживания…|Холт Виктория
Нельзя создать что-нибудь из ничею.|Лондон Джек
Безумство храбрых - вот мудрость жизни!|Горький Максим
Слишком сладких плодов не любит воин. Поэтому любит он женщину; в самой сладкой женщине есть еще горькое.|Ницше Фридрих
Маленькое мщение более человечно, чем отсутствие всякой мести.|Ницше Фридрих
Счастье мужчины называется: я хочу. Счастье женщины называется: он хочет.|Ницше Фридрих
Когда не знаешь, сказать «да» или «нет», говори «да».|Силлитоу Алан
Ни одна армия не способна остановить мысль, если пришло ее время.|Старк Ричард
