content|author
Cái ác trên thế gian hầu như thường đến từ sự ngu muội, và ý tốt cũng có thể gây hại nhiều như ác ý nếu nó thiếu đi sự thấu hiểu.|Albert Camus
Đôi khi ngọn lửa của ta phụt tắt và được một người khác châm ngòi lại. Mỗi chúng ta có lý do để cảm tạ những người bạn đã đốt lại ngọn lửa dùm ta.|Albert Schweitzer
Lương thiện là đồng tiền duy nhất có thể đi khắp thế giới.|Ngạn ngữ Pháp
Con người ai cũng mơ, nhưng mức độ khác nhau. Những người mơ vào ban đêm trong nơi thầm kín bụi bặm của tâm tưởng thức dậy vào ban ngày và thấy tất cả chỉ là hư ảo, nhưng những người mơ vào ban ngày rất nguy hiểm, vì họ có thể hành động từ trong giấc mơ với cặp mắt rộng mở, để biến nó thành hiện thực.|Thomas Edward Lawrence
Cuộc sống làm bạn buồn chán ư? Hãy lao vào công việc bạn tin tưởng bằng tất cả trái tim, sống vì nó, chết vì nó, và bạn sẽ tìm thấy thứ hạnh phúc tưởng chừng như không bao giờ đạt được.|Dale Carnegie
Thành công là đạt được thứ bạn muốn. Hạnh phúc là muốn thứ bạn đạt được.|Dale Carnegie
Không có giá trị nào trong cuộc sống trừ những gì bạn chọn đặt lên nó, và không có hạnh phúc ở bất cứ đâu trừ điều bạn mang đến cho bản thân mình.|Henry David Thoreau
Hạnh phúc lớn nhất ở đời là có thể tin chắc rằng ta được yêu thương - yêu vì chính bản thân ta, hay đúng hơn, yêu bất kể bản thân ta.|Victor Hugo
Hạnh phúc trong hôn nhân hoàn toàn là vấn đề may rủi.|Jane Austen
Một nửa thế giới không thể hiểu hạnh phúc của người khác.|Jane Austen
Hạnh phúc là khi điều bạn nghĩ, điều bạn nói và điều bạn làm hài hòa với nhau.|Mahatma Gandhi
Không ai hạnh phúc nếu không nghĩ mình hạnh phúc.|Publilius Syrus
Không phải mức độ giàu có tạo nên hạnh phúc mà đó là sự gần gũi của trái tim với trái tim và cách chúng ta nhìn thế giới. Cả hai thái độ này đều nằm trong tầm tay ta... một người hạnh phúc chừng nào anh ta còn chọn để mình hạnh phúc, và không ai ngăn cản anh ta được.|Aleksandr Solzhenitsyn
Hạnh phúc không có nghĩa là mọi việc đều hoàn hảo. Nó có nghĩa là bạn đã quyết định nhìn xa hơn những khiếm khuyết.|Khuyết danh
Thực sự thì tôi cho rằng không gì thực hơn hạnh phúc và không gì hạnh phúc và ngọt ngào hơn sự thật.|Gottfried Wilhelm Leibniz
Thôi thúc muốn có những chuyến đi là một trong những dấu hiệu đầy hi vọng của sự sống.|Agnes Repplier
Tất cả cuộc sống đều là thử nghiệm. Bạn càng thử nghiệm nhiều càng tốt.|Ralph Waldo Emerson
Người không chinh phục nỗi sợ hãi hàng ngày vẫn chưa học được bí mật của cuộc sống.|Ralph Waldo Emerson
Quan trọng không phải là sống lâu như thế nào, mà là sống sâu như thế nào.|Ralph Waldo Emerson
Một cuộc sống trong nhung lụa làm cả những tâm hồn mạnh mẽ nhất cũng trở nên phù phiếm.|Edward Bulwer Lytton
Chỉ có một khát khao, khát khao hạnh phúc.|Denis Diderot
Hạnh phúc: tài khoản ngân hàng tốt, người đầu bếp tốt và khả năng tiêu hóa tốt.|Jean Jacques Rousseau
Cứ mỗi ngày tôi lại càng tin rằng sự lãng phí cuộc đời nằm trong những tình cảm chúng ta không cho đi, sức mạnh chúng ta không sử dụng, sự thận trọng ích kỷ không dám mạo hiểm điều gì và lẩn tránh nỗi đau, cũng đồng thời để lỡ hạnh phúc.|Khuyết danh
Hạnh phúc không phải đích đến; nó là phụ phẩm.|Eleanor Roosevelt
Vì bạn nhận được nhiều niềm vui hơn khi đem niềm vui cho người khác, bạn nên suy nghĩ nhiều về niềm hạnh phúc bạn có thể cho.|Eleanor Roosevelt
Tôi mong ước tình bạn có chân, cũng như có mắt và có tài hùng biện. Nó phải tự đứng được trên mặt đất trước khi bước tới cung trăng.|Ralph Wando Emerson
Những người thật sự yêu nhau không viết ra niềm hạnh phúc của mình.|Anatole France
Điều chúng ta gọi là hạnh phúc là điều chúng ta không biết.|Anatole France
Đôi lúc cũng cần thiết dừng chân trong cuộc hành trình theo đuổi hạnh phúc, và chỉ đơn giản là cảm thấy hạnh phúc.|Guillaume Apollinaire
Hạnh phúc là người thầy hà khắc, đặc biệt là hạnh phúc của người khác.|Aldous Huxley
Chỉ có một thứ hạnh phúc trên đời, yêu và được yêu.|George Sand
Cuộc sống đồng điệu giữa những người yêu nhau là hạnh phúc lý tưởng.|George Sand
Hạnh phúc của một người là kết quả nỗ lực của chính anh ta, một khi anh ta đã biết nguyên liệu cần thiết của hạnh phúc chỉ là một ít can đảm, sự tự chối bỏ ở mức độ nhất định, tình yêu công việc, và trên hết, một lương tâm trong sạch.|George Sand
Chính là một dạng màu mè học đòi về tinh thần khiến người ta nghĩ rằng mình có thể thiếu tiền mà hạnh phúc.|Albert Camus
Hạnh phúc và sự phi lý là hai đứa con của cùng một mẹ đất. Chúng không thể tách rời.|Albert Camus
Sự tồn tại là cuộc mặc cả lạ lùng. Đời nợ chúng ta thì ít mà chúng ta thì nợ đời tất cả. Hạnh phúc thực sự duy nhất đến từ việc cống hiến hết bản thân vì một mục tiêu nào đó.|William Cowper
Đạo đức không gì hơn là lòng tôn kính cuộc sống.|Albert Schweitzer
Bằng việc kính trọng cuộc sống, chúng ta trở nên mộ đạo một cách cơ bản, sâu sắc và sống động.|Albert Schweitzer
Khi một người không cho rằng sự tồn tại của mình là hiển nhiên mà thấy nó là điều bí ẩn vô cùng, tư tưởng bắt đầu.|Albert Schweitzer
Nếu một người đánh mất niềm tôn kính vào bất cứ phần nào của cuộc sống, anh ta sẽ đánh mất niềm tôn kính với toàn bộ cuộc sống.|Albert Schweitzer
Như sóng không thể chỉ tồn tại đơn độc mà luôn là một phần của mặt biển nhấp nhô, tôi không bao giờ được bó hẹp cuộc đời tôi trong phạm vi của riêng mình mà luôn phải sống với những trải nghiệm đang diễn ra xung quanh.|Albert Schweitzer
